name,name_ga,county,lat,lon,type
Maigh Cuilinn,Maigh Cuilinn,,53.3377067,-9.1790603,town
Slane,Baile Shláine,,53.7085594,-6.5431923,village
Ahascragh,Áth Eascrach,,53.3973146,-8.332594,village
Newbawn,,,52.3428999,-6.7905431,village
Rathgormack,,,52.305461,-7.4986519,village
Belclare,,,53.492163,-8.9383389,hamlet
Figart Upper,,Donegal,54.8621857,-7.6306034,hamlet
Irishtown,An Baile Gaelach,,53.6626542,-8.8880037,village
Schull,An Scoil,,51.5271026,-9.5469428,village
Monamolin,,Wexford,52.5563021,-6.3485775,village
Ballingarrane,Baile an Gharráin,Limerick,52.5490677,-8.9351201,hamlet
Curragha,,Meath,53.5404625,-6.4418666,village
Laghy,An Lathaigh,,54.6156354,-8.0884261,village
Skehana,,,53.4151751,-8.6358468,hamlet
Glenbrook,Gleann an Fheileastraim,Cork,51.8612519,-8.3345983,village
Ballinaboola,Baile na Buaile,,52.3692234,-6.8375031,village
Kilrane,,,52.2420146,-6.355294,village
Geashill,Géisill,,53.2353767,-7.3221015,village
Liscannor,Lios Ceannúir,,52.9385765,-9.3914645,village
Woodenbridge,,Wicklow,52.8316787,-6.2345771,village
Bunnanaddan,Bun an Fheadáin,,54.0521319,-8.6054085,village
Tully Cross,,Galway,53.588386,-9.9631706,village
Santry,,Dublin,53.3971578,-6.2454723,suburb
Knockbridge,Droichead an Chnoic,Louth,53.9713873,-6.4869129,village
Bunmahon,Bun Machan,Waterford,52.1398615,-7.3708525,village
Edenderry,Éadan Doire,Offaly,53.3433656,-7.0488576,town
Gort a' Choirce,Gort a' Choirce,Donegal,55.119517,-8.1344091,village
